id,average_weight,mechanics
101332,1.6667,"Roll / Spin and Move,Set Collection"
101335,1,
10134,0,"Point to Point Movement,Roll / Spin and Move,Tile Placement"
10135,0,"Point to Point Movement,Roll / Spin and Move"
101350,0,Roll / Spin and Move
10136,1,Set Collection
101369,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading"
10137,0,"Roll / Spin and Move,Set Collection"
10138,0,"Point to Point Movement,Roll / Spin and Move,Set Collection"
10139,1,
1014,2.9,"Area Movement,Voting"
10140,1.2353,Pattern Recognition
10141,0,Dice Rolling
101414,2,"Card Drafting,Hand Management,Set Collection"
101417,0,Pattern Recognition
101419,0,Dice Rolling
101420,1,Hand Management
101421,0,
101425,1.5,Trick-taking
10143,0,Storytelling
101433,0,Set Collection
101434,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading"
101436,5,"Dice Rolling,Hex-and-Counter"
101437,2,"Dice Rolling,Hex-and-Counter"
10144,0,Dice Rolling
101451,0,"Betting/Wagering,Roll / Spin and Move,Simulation"
10146,4.5,
101463,2,Set Collection
10147,2,"Betting/Wagering,Set Collection"
10148,0,"Hand Management,Pick-up and Deliver"
101488,0,"Card Drafting,Roll / Spin and Move"
10149,3.7727,"Dice Rolling,Hex-and-Counter,Simulation"
1015,2,"Partnerships,Secret Unit Deployment"
10150,1.6667,"Memory,Point to Point Movement,Roll / Spin and Move"
101501,0,"Dice Rolling,Memory"
101502,0,Memory
101504,0,"Dice Rolling,Memory"
101505,0,"Action Point Allowance System,Area Movement,Dice Rolling,Variable Player Powers"
101509,0,"Betting/Wagering,Press Your Luck"
10151,0,"Co-operative Play,Storytelling"
101513,1.8182,"Card Drafting,Deck / Pool Building,Hand Management"
101519,1,"Rock-Paper-Scissors,Secret Unit Deployment,Simultaneous Action Selection"
10152,1,"Co-operative Play,Memory,Pattern Recognition"
101521,0,"Betting/Wagering,Dice Rolling"
101522,2,"Hand Management,Partnerships,Player Elimination,Variable Player Powers"
101531,0,"Co-operative Play,Commodity Speculation,Paper-and-Pencil,Role Playing,Roll / Spin and Move,Route/Network Building,Simulation,Voting"
101539,2.3333,"Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Secret Unit Deployment"
10154,1.8,Roll / Spin and Move
101550,0,"Dice Rolling,Variable Player Powers"
101555,3,Hand Management
10156,2.9744,"Dice Rolling,Hex-and-Counter"
10158,1.5,"Memory,Pattern Recognition"
10159,1,"Co-operative Play,Memory"
101595,1,"Pattern Recognition,Simultaneous Action Selection"
101596,0,Co-operative Play
101598,0,"Auction/Bidding,Set Collection"
1016,1,Set Collection
10160,1,Set Collection
101601,1,
101602,0,Roll / Spin and Move
101608,0,"Action Point Allowance System,Pick-up and Deliver,Point to Point Movement,Set Collection"
10161,0,Co-operative Play
10162,2.25,Hex-and-Counter
101623,0,
101627,1.5,Dice Rolling
101628,1.3333,"Chit-Pull System,Hex-and-Counter"
101629,1.5,"Card Drafting,Hex-and-Counter"
10163,5,Roll / Spin and Move
101639,2.3333,"Dice Rolling,Modular Board"
10164,1.0465,Pattern Recognition
101641,0,"Memory,Pattern Recognition"
101644,3.4286,"Action Point Allowance System,Dice Rolling,Variable Player Powers"
101646,0,"Action Point Allowance System,Campaign / Battle Card Driven,Chit-Pull System,Co-operative Play,Hex-and-Counter,Simultaneous Action Selection,Variable Phase Order"
101657,1.75,Hex-and-Counter
101658,0,"Area Movement,Card Drafting,Dice Rolling,Modular Board,Role Playing,Tile Placement,Variable Player Powers"
101660,1.8333,"Set Collection,Simultaneous Action Selection"
101661,0,
101662,0,"Pattern Building,Tile Placement"
101663,0,Tile Placement
101665,2.1429,"Card Drafting,Deck / Pool Building,Hand Management"
101668,1,"Acting,Memory,Partnerships"
10167,1.67,"Roll / Spin and Move,Tile Placement"
101673,0,"Area Control / Area Influence,Simultaneous Action Selection"
101674,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
101675,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
101676,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
101677,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
101678,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
101679,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
10168,3.1,"Dice Rolling,Hex-and-Counter,Simulation"
101680,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
101682,3.5625,"Hex-and-Counter,Simulation"
101683,0,"Hand Management,Variable Player Powers"
101684,0,"Dice Rolling,Hand Management,Variable Player Powers"
101685,1.3333,"Hand Management,Set Collection"
101686,1,Action Point Allowance System
10169,2.3333,"Area Movement,Dice Rolling"
1017,3.0455,Tile Placement
10170,2.5,"Area Movement,Dice Rolling"
101700,0,"Dice Rolling,Hand Management,Roll / Spin and Move,Variable Player Powers"
101701,0,"Acting,Memory,Partnerships"
101704,0,"Hand Management,Set Collection"
101705,0,"Dice Rolling,Tile Placement"
10171,0,"Area-Impulse,Dice Rolling"
101711,2.7,"Card Drafting,Hand Management,Pattern Building"
101718,2.0476,"Card Drafting,Deck / Pool Building,Hand Management,Set Collection"
101719,0,
10172,0,Memory
101721,3.6289,"Dice Rolling,Grid Movement,Simultaneous Action Selection,Variable Player Powers"
101723,5,"Partnerships,Trick-taking"
10173,0,
101730,0,"Point to Point Movement,Roll / Spin and Move"
101737,1.0952,Dice Rolling
10174,3.1429,"Dice Rolling,Hex-and-Counter"
101740,0,"Dice Rolling,Hex-and-Counter,Variable Player Powers"
101742,0,"Campaign / Battle Card Driven,Dice Rolling,Modular Board,Variable Player Powers"
101743,0,"Co-operative Play,Variable Player Powers"
101745,4,"Dice Rolling,Modular Board"
10175,1,"Memory,Point to Point Movement,Roll / Spin and Move,Set Collection"
101759,0,
10176,0,"Roll / Spin and Move,Set Collection"
101760,0,
101761,0,
101762,0,"Dice Rolling,Roll / Spin and Move"
101763,0,Area Enclosure
101764,0,"Dice Rolling,Hand Management"
101765,0,"Betting/Wagering,Set Collection"
101766,1.3333,"Action Point Allowance System,Dice Rolling,Variable Phase Order,Worker Placement"
101767,0,"Dice Rolling,Tile Placement"
101768,0,"Pick-up and Deliver,Roll / Spin and Move"
101769,0,"Dice Rolling,Roll / Spin and Move"
101771,0,Roll / Spin and Move
101772,0,Set Collection
101774,0,Acting
10178,0,
101782,0,"Area Control / Area Influence,Area Movement,Dice Rolling,Set Collection"
101783,1.25,"Dice Rolling,Variable Player Powers"
101785,2.0573,"Co-operative Play,Dice Rolling,Simultaneous Action Selection"
101786,2.5278,"Action Point Allowance System,Dice Rolling,Modular Board"
101787,0,
101788,0,"Action Point Allowance System,Dice Rolling,Modular Board"
101789,0,"Action Point Allowance System,Dice Rolling,Modular Board"
10179,1,"Point to Point Movement,Roll / Spin and Move"
101790,0,"Partnerships,Pattern Building"
101791,0,Grid Movement
101793,1,"Betting/Wagering,Paper-and-Pencil,Simultaneous Action Selection"
101796,1,"Dice Rolling,Press Your Luck"
1018,2,Auction/Bidding
10180,0,Memory
101803,0,
101804,0,Dice Rolling
10181,1,Point to Point Movement
10182,1,"Point to Point Movement,Roll / Spin and Move,Set Collection"
101829,2,
10183,2.9024,"Hex-and-Counter,Simulation"
101834,0,
101836,0,
101837,0,
10184,0,"Line Drawing,Paper-and-Pencil"
101840,1,"Betting/Wagering,Paper-and-Pencil,Simultaneous Action Selection"
101841,1,"Betting/Wagering,Paper-and-Pencil,Simultaneous Action Selection"
101842,1,"Betting/Wagering,Paper-and-Pencil,Simultaneous Action Selection"
101843,0,Dice Rolling
101845,0,Dice Rolling
101846,0,
101847,0,Co-operative Play
101849,0,
10185,1,Betting/Wagering
